Motor-vehicle deaths and mileage death rates by mont, 1992-2020;;;;
Year;Month;Deaths;Death rate per 100 million vehicle miles;Vehicle miles (billions)
2007;Oct;3769;1,44;261,6
2007;Nov;3606;1,47;246
2007;Dec;3481;1,44;240,9
2007 Total;;43945;17,38;3029,8
2006;Jan;3396;1,46;232,9
2006;Feb;3164;1,43;220,8
2006;Mar;3567;1,39;256,6
2006;Apr;3745;1,5;250,4
2006;May;3952;1,5;264,2
2006;Jun;3916;1,49;263,2
2006;Jul;4092;1,56;262,8
2006;Aug;4088;1,53;266,5
2006;Sep;3951;1,6;246,4
2006;Oct;4048;1,57;258,1
2006;Nov;3704;1,51;245,8
2006;Dec;3693;1,5;246,3
2006 Total;;45316;18,04;3014
2005;Jan;3305;1,47;224,2
2005;Feb;3042;1,38;220,1
2005;Mar;3334;1,31;253,6
2005;Apr;3686;1,47;250,9
2005;May;3874;1,48;262,1
2005;Jun;3865;1,46;264
2005;Jul;4391;1,64;267,4
2005;Aug;4039;1,52;265,3
2005;Sep;3920;1,62;241,6
2005;Oct;4209;1,67;252,1
2005;Nov;3922;1,61;243,5
2005;Dec;3756;1,53;244,9
2005 Total;;45343;18,16;2989,7
2004;Jan;3410;1,54;222
2004;Feb;3128;1,47;213,5
2004;Mar;3422;1,36;252,1
2004;Apr;3567;1,42;251,7
2004;May;3952;1,54;257,1
2004;Jun;3960;1,54;257,8
2004;Jul;4132;1,55;266,2
2004;Aug;4212;1,6;262,9
2004;Sep;3733;1,54;242,9
2004;Oct;3991;1,57;253,7
2004;Nov;3640;1,53;238,6
2004;Dec;3786;1,55;243,9
2004 Total;;44933;18,21;2962,4
2003;Jan;3226;1,48;218,3
2003;Feb;2927;1,44;203,1
2003;Mar;3307;1,39;237,1
2003;Apr;3585;1,5;238,9
2003;May;3758;1,48;253,6
2003;Jun;3915;1,55;252,1
2003;Jul;4203;1,61;261,3
2003;Aug;4201;1,61;260,3
2003;Sep;3855;1,63;236,4
2003;Oct;4108;1,62;253,8
2003;Nov;3919;1,66;235,4
2003;Dec;3753;1,56;240,6
2003 Total;;44757;18,53;2890,9
2002;Jan;3458;1,6;216
2002;Feb;3063;1,47;208,5
2002;Mar;3654;1,55;236,3
2002;Apr;3419;1,44;236,9
2002;May;3893;1,54;252
2002;Jun;4018;1,62;248,3
2002;Jul;4251;1,66;256,1
2002;Aug;4159;1,61;258,3
2002;Sep;4018;1,72;233,1
2002;Oct;3972;1,62;245,7
2002;Nov;3683;1,6;230,8
2002;Dec;3792;1,62;233,7
2002 Total;;45380;19,05;2855,7
2001;Jan;3083;1,47;209,3
2001;Feb;2878;1,44;199,9
2001;Mar;3262;1,41;231,5
2001;Apr;3428;1,48;231,4
2001;May;3810;1,56;244,3
2001;Jun;3728;1,54;242,6
2001;Jul;4059;1,63;248,8
2001;Aug;4047;1,61;251,7
2001;Sep;3752;1,67;224,6
2001;Oct;4055;1,69;240
2001;Nov;3833;1,67;229,5
2001;Dec;3853;1,69;228,1
2001 Total;;43788;18,86;2781,7
2000;Jan;3362;1,65;203,6
2000;Feb;2909;1,46;199,4
2000;Mar;3301;1,42;232,6
2000;Apr;3494;1,53;227,8
2000;May;3697;1,52;242,6
2000;Jun;3760;1,55;243
2000;Jul;4157;1,7;245,1
2000;Aug;3984;1,61;247,8
2000;Sep;3837;1,69;227,3
2000;Oct;3836;1,62;236,5
2000;Nov;3462;1,55;222,8
2000;Dec;3555;1,63;218,4
2000 Total;;43354;18,93;2746,9
1999;Jan;2936;1,51;194,4
1999;Feb;2750;1,43;192,3
1999;Mar;3209;1,45;221,7
1999;Apr;3148;1,42;222
1999;May;3741;1,61;231,8
1999;Jun;3590;1,51;237
1999;Jul;3910;1,6;244,2
1999;Aug;4061;1,67;242,6
1999;Sep;3715;1,65;225,3
1999;Oct;3945;1,66;237,7
1999;Nov;3658;1,64;222,8
1999;Dec;3738;1,68;222,5
1999 Total;;42401;18,83;2694,3
1998;Jan;3265;1,66;196,9
1998;Feb;2956;1,58;187,2
1998;Mar;3229;1,51;214,2
1998;Apr;3216;1,48;217,9
1998;May;3625;1,59;227,9
1998;Jun;3733;1,63;228,7
1998;Jul;4079;1,7;239,9
1998;Aug;4216;1,78;237,1
1998;Sep;3741;1,7;219,5
1998;Oct;3867;1,69;228,5
1998;Nov;3728;1,77;211,2
1998;Dec;3846;1,78;216,3
1998 Total;;43501;19,87;2625,3
1997;Jan;3334;1,75;190,1
1997;Feb;2915;1,59;183,9
1997;Mar;3218;1,52;211,9
1997;Apr;3311;1,56;211,9
1997;May;3906;1,73;226,1
1997;Jun;3774;1,7;222,2
1997;Jul;3997;1,69;236,7
1997;Aug;4108;1,76;233,5
1997;Sep;3598;1,69;213,5
1997;Oct;3841;1,74;221,2
1997;Nov;3693;1,82;202,4
1997;Dec;3763;1,82;207,3
1997 Total;;43458;20,37;2560,7
1996;Jan;3160;1,72;183,7
1996;Feb;2951;1,67;176,8
1996;Mar;3413;1,67;204,5
1996;Apr;3396;1,65;205,6
1996;May;3581;1,64;219
1996;Jun;3933;1,82;215,9
1996;Jul;3852;1,71;225,4
1996;Aug;3975;1,73;229,4
1996;Sep;3805;1,83;207,9
1996;Oct;3941;1,82;216
1996;Nov;3849;1,93;199,9
1996;Dec;3793;1,88;201,7
1996 Total;;43649;21,07;2485,8
1995;Jan;3136;1,71;183,6
1995;Feb;2882;1,67;172,5
1995;Mar;3233;1,6;202,4
1995;Apr;3298;1,65;199,5
1995;May;3454;1,62;213,6
1995;Jun;3762;1,77;212,3
1995;Jul;3954;1,82;217,7
1995;Aug;4270;1,94;219,9
1995;Sep;3943;1,93;204,3
1995;Oct;4074;1,97;207
1995;Nov;3679;1,88;195,4
1995;Dec;3678;1,89;194,6
1995 Total;;43363;21,45;2422,8
1994;Jan;2993;1,77;169,3
1994;Feb;2697;1,62;166,4
1994;Mar;3224;1,64;196,1
1994;Apr;3409;1,74;195,4
1994;May;3657;1,77;206,6
1994;Jun;3609;1,74;207,3
1994;Jul;3921;1,83;214,8
1994;Aug;3958;1,84;215
1994;Sep;3721;1,86;200,5
1994;Oct;3982;1,96;202,9
1994;Nov;3614;1,9;190,1
1994;Dec;3739;1,94;193,1
1994 Total;;42524;21,61;2357,5
1993;Jan;2944;1,71;171,7
1993;Feb;2691;1,65;162,8
1993;Mar;3010;1,6;187,8
1993;Apr;3155;1,67;188,7
1993;May;3614;1,76;205,9
1993;Jun;3527;1,77;199,4
1993;Jul;4050;1,93;209,8
1993;Aug;4047;1,93;209,6
1993;Sep;3741;1,93;193,7
1993;Oct;3948;2;197,8
1993;Nov;3666;2,01;182,3
1993;Dec;3500;1,87;186,8
1993 Total;;41893;21,83;2296,3
1992;Jan;2999;1,79;167,9
1992;Feb;2833;1,77;160,4
1992;Mar;2934;1,59;184
1992;Apr;3069;1,65;186,3
1992;May;3582;1,82;197
1992;Jun;3659;1,85;197,5
1992;Jul;3780;1,83;206,9
1992;Aug;3867;1,89;205
1992;Sep;3499;1,83;191,2
1992;Oct;3937;2,02;195,1
1992;Nov;3395;1,91;177,6
1992;Dec;3428;1,89;181,2
1992 Total;;40982;21,84;2250,1
